rows,depth,unaffected,metric,exec_count,p50_us,p95_us,p99_us,mean_us,n
10000,1,0,update,2,52.791,89.569,113.714,56.795,150
10000,1,0,schedule,0,0.333,0.375,0.375,0.344,300
10000,1,1,update,2,52.625,85.085,130.817,56.33,150
10000,1,1,schedule,0,0.333,0.375,0.375,0.315,300
10000,1,2,update,2,52.083,71.858,87.048,54.071,150
10000,1,2,schedule,0,0.333,0.375,0.375,0.319,300
10000,1,4,update,2,50.73,72.392,83.526,53.39,150
10000,1,4,schedule,0,0.333,0.375,0.458,0.325,300
10000,1,8,update,2,51.479,70.107,83.092,53.674,150
10000,1,8,schedule,0,0.292,0.375,0.375,0.315,300
10000,1,16,update,2,51.312,73.271,82.009,53.81,150
10000,1,16,schedule,0,0.292,0.336,0.375,0.313,300
10000,1,32,update,2,55.73,80.543,89.579,58.072,150
10000,1,32,schedule,0,0.333,0.375,0.417,0.324,300
10000,1,64,update,2,53.73,79.46,98.1,56.506,150
10000,1,64,schedule,0,0.333,0.375,0.417,0.328,300
10000,1,128,update,2,55.062,81.352,95.472,58.489,150
10000,1,128,schedule,0,0.333,0.375,0.416,0.33,300
10000,1,256,update,2,59.562,87.094,97.131,62.716,150
10000,1,256,schedule,0,0.333,0.375,0.417,0.322,300
10000,3,0,update,4,87.354,117.581,122.125,90.991,150
10000,3,0,schedule,0,0.375,0.417,0.459,0.382,300
10000,3,1,update,4,89.792,116.058,127.594,92.531,150
10000,3,1,schedule,0,0.375,0.417,0.5,0.407,300
10000,3,2,update,4,86.709,113.49,123.342,90.054,150
10000,3,2,schedule,0,0.375,0.417,0.458,0.381,300
10000,3,4,update,4,86.501,112.688,117.699,89.321,150
10000,3,4,schedule,0,0.375,0.417,0.5,0.402,300
10000,3,8,update,4,85.458,113.69,115.8,88.926,150
10000,3,8,schedule,0,0.375,0.542,0.583,0.427,300
10000,3,16,update,4,86.916,116.773,119.023,90.708,150
10000,3,16,schedule,0,0.375,0.419,0.5,0.388,300
10000,3,32,update,4,88.562,116.206,118.632,91.852,150
10000,3,32,schedule,0,0.375,0.417,0.5,0.425,300
10000,3,64,update,4,91.958,120.035,133.565,96.735,150
10000,3,64,schedule,0,0.375,0.417,0.458,0.384,300
10000,3,128,update,4,93.438,119.565,125.863,96.003,150
10000,3,128,schedule,0,0.375,0.5,0.541,0.398,300
10000,3,256,update,4,96.271,127.025,130.839,100.007,150
10000,3,256,schedule,0,0.375,0.417,0.458,0.39,300
10000,10,0,update,11,180.52,203.612,215.236,182.24,150
10000,10,0,schedule,0,0.583,0.666,0.75,0.614,300
10000,10,1,update,11,180.187,210.475,223.228,183.012,150
10000,10,1,schedule,0,0.583,0.625,0.667,0.6,300
10000,10,2,update,11,180.75,212.089,220.671,183.317,150
10000,10,2,schedule,0,0.583,0.625,0.625,0.583,300
10000,10,4,update,11,181.771,203.153,214.663,184.243,150
10000,10,4,schedule,0,0.584,0.667,0.751,0.624,300
10000,10,8,update,11,183.271,209.992,220.575,186.472,150
10000,10,8,schedule,0,0.625,0.667,0.709,0.611,300
10000,10,16,update,11,181.875,207.242,214.199,184.961,150
10000,10,16,schedule,0,0.625,0.667,0.75,0.616,300
10000,10,32,update,11,185.5,214.369,221.85,189.846,150
10000,10,32,schedule,0,0.708,0.875,0.917,0.706,300
10000,10,64,update,11,190.541,227.825,245.296,195.95,150
10000,10,64,schedule,0,0.583,0.625,0.667,0.618,300
10000,10,128,update,11,192.042,226.094,236.593,196.233,150
10000,10,128,schedule,0,0.625,0.667,0.709,0.62,300
10000,10,256,update,11,204.395,248.216,255.774,209.436,150
10000,10,256,schedule,0,0.625,0.667,0.709,0.664,300
100000,1,0,update,2,81.875,97.619,106.974,83.834,150
100000,1,0,schedule,0,0.292,0.334,0.375,0.314,300
100000,1,1,update,2,79.979,92.231,108.012,81.422,150
100000,1,1,schedule,0,0.292,0.334,0.375,0.307,300
100000,1,2,update,2,79.541,93.3,106.278,81.624,150
100000,1,2,schedule,0,0.333,0.375,0.417,0.321,300
100000,1,4,update,2,78.312,90.719,92.193,80.116,150
100000,1,4,schedule,0,0.333,0.375,0.375,0.319,300
100000,1,8,update,2,77.562,89.729,109.003,79.773,150
100000,1,8,schedule,0,0.333,0.375,0.375,0.318,300
100000,1,16,update,2,80.104,92.681,98.321,81.558,150
100000,1,16,schedule,0,0.292,0.334,0.375,0.312,300
100000,1,32,update,2,82.709,95.833,97.968,83.651,150
100000,1,32,schedule,0,0.292,0.375,0.375,0.314,300
100000,1,64,update,2,80.562,97.308,113.943,82.999,150
100000,1,64,schedule,0,0.292,0.375,0.417,0.35,300
100000,1,128,update,2,85.917,103.161,122.64,87.526,150
100000,1,128,schedule,0,0.333,0.375,0.417,0.323,300
100000,1,256,update,2,95.312,130.667,136.994,99.209,150
100000,1,256,schedule,0,0.292,0.334,0.375,0.314,300
100000,3,0,update,4,141.479,200.537,305.287,151.979,150
100000,3,0,schedule,0,0.375,0.417,0.459,0.385,300
100000,3,1,update,4,143.979,174.331,186.905,147.08,150
100000,3,1,schedule,0,0.375,0.417,0.5,0.428,300
100000,3,2,update,4,143.416,180.873,198.837,146.542,150
100000,3,2,schedule,0,0.416,0.542,0.626,0.47,300
100000,3,4,update,4,141.021,170.269,182.874,143.691,150
100000,3,4,schedule,0,0.416,0.458,0.459,0.42,300
100000,3,8,update,4,148.0,179.135,192.609,148.696,150
100000,3,8,schedule,0,0.375,0.417,0.458,0.393,300
100000,3,16,update,4,139.0,164.073,180.609,140.402,150
100000,3,16,schedule,0,0.416,0.458,0.459,0.399,300
100000,3,32,update,4,138.291,174.596,197.466,142.383,150
100000,3,32,schedule,0,0.417,0.584,0.625,0.439,300
100000,3,64,update,4,127.25,159.712,183.329,132.143,150
100000,3,64,schedule,0,0.5,0.586,0.625,0.483,300
100000,3,128,update,4,130.125,166.366,203.044,135.741,150
100000,3,128,schedule,0,0.416,0.458,0.5,0.403,300
100000,3,256,update,4,131.855,145.306,174.559,134.28,150
100000,3,256,schedule,0,0.375,0.419,0.459,0.392,300
100000,10,0,update,11,281.459,304.292,321.301,281.007,150
100000,10,0,schedule,0,0.625,0.667,0.708,0.625,300
100000,10,1,update,11,280.625,307.904,344.29,281.935,150
100000,10,1,schedule,0,0.625,0.667,0.708,0.637,300
100000,10,2,update,11,284.084,338.009,370.806,290.896,150
100000,10,2,schedule,0,0.625,0.667,0.708,0.623,300
100000,10,4,update,11,293.979,361.29,420.305,302.961,150
100000,10,4,schedule,0,0.625,0.708,0.75,0.69,300
100000,10,8,update,11,299.208,355.129,420.27,304.833,150
100000,10,8,schedule,0,0.688,0.792,1.0,0.703,300
100000,10,16,update,11,323.375,392.006,445.338,329.021,150
100000,10,16,schedule,0,0.625,0.917,0.959,0.684,300
100000,10,32,update,11,307.188,357.977,380.836,309.047,150
100000,10,32,schedule,0,0.583,0.75,0.792,0.612,300
100000,10,64,update,11,289.229,320.237,337.098,291.579,150
100000,10,64,schedule,0,0.583,0.625,0.667,0.583,300
100000,10,128,update,11,294.396,325.485,341.173,297.104,150
100000,10,128,schedule,0,0.625,0.667,0.792,0.619,300
100000,10,256,update,11,302.584,330.169,365.178,305.482,150
100000,10,256,schedule,0,0.625,0.667,0.709,0.631,300
100000,3,0,full,5,133.062,190.406,203.881,141.306,12
100000,3,1,full,6,797.188,920.739,926.148,817.417,12
100000,3,2,full,7,1373.959,1639.321,1651.164,1408.875,12
100000,3,4,full,9,2542.771,2796.438,2813.121,2506.417,12
100000,3,8,full,13,5136.855,5737.827,5936.432,5229.736,12
100000,3,16,full,21,10464.667,10888.462,10964.325,10462.486,12
100000,3,32,full,37,20522.354,25476.375,29566.175,21323.163,12
100000,3,64,full,69,40951.188,41968.652,42073.463,40698.059,12
100000,3,128,full,133,79750.729,82706.634,82727.827,80227.823,12
100000,3,256,full,261,162475.041,173880.052,174647.21,164133.149,12
