rows,depth,unaffected,metric,exec,p50_us,p95_us,p99_us,mean_us,n
100000,1,0,dash_update,1,79.749,114.863,117.835,83.223,40
100000,1,4,dash_update,1,77.188,140.218,168.815,83.561,40
100000,1,16,dash_update,1,73.812,107.856,145.852,77.989,40
100000,1,64,dash_update,1,71.521,82.812,93.339,73.368,40
100000,1,128,dash_update,1,74.438,85.56,112.833,75.877,40
100000,1,256,dash_update,1,74.667,93.375,96.781,75.943,40
100000,3,0,dash_update,1,111.209,136.736,139.77,112.223,40
100000,3,4,dash_update,1,106.229,120.492,123.111,107.034,40
100000,3,16,dash_update,1,107.875,124.75,129.899,109.502,40
100000,3,64,dash_update,1,109.791,129.87,151.767,112.076,40
100000,3,128,dash_update,1,112.083,134.679,168.754,113.726,40
100000,3,256,dash_update,1,112.312,144.983,174.52,117.187,40
100000,10,0,dash_update,1,235.834,274.838,279.202,231.759,40
100000,10,4,dash_update,1,233.271,263.246,271.511,229.793,40
100000,10,16,dash_update,1,238.666,269.935,277.26,232.849,40
100000,10,64,dash_update,1,236.416,276.225,292.769,235.647,40
100000,10,128,dash_update,1,238.167,278.523,333.764,239.402,40
100000,10,256,dash_update,1,259.0,301.708,310.812,252.867,40
